correct('localy') => 'localy' (76); expected 'locally' (711485)
correct('usefull') => 'usefull' (9804); expected 'useful' (8383579)
correct('concider') => 'concider' (238); expected 'consider' (10045347)
correct('hierchy') => 'hierachy' (2023); expected 'hierarchy' (963480)
correct('occurence') => 'occurence' (19059); expected 'occurrence' (2458999)
correct('occurence') => 'occurence' (19059); expected 'occurrence' (2458999)
correct('aranging') => 'aranging' (83); expected 'arrangeing' (108)
correct('valuble') => 'valuble' (1037); expected 'valuable' (6042191)
correct('sorces') => 'sorces' (45); expected 'sources' (5450684)
correct('unexspected') => 'unexspected' (48); expected 'unexpected' (1573266)
correct('comittee') => 'comittee' (2872); expected 'committee' (5960081)
correct('liew') => 'liew' (1655); expected 'lieu' (565227)
correct('sissors') => 'sissors' (107); expected 'scissors' (305868)
correct('miniscule') => 'miniscule' (10061); expected 'minuscule' (31279)
correct('poame') => 'pome' (12797); expected 'poem' (4160291)
correct('managment') => 'managment' (2732); expected 'management' (6815345)
correct('extreamly') => 'extreamly' (12193); expected 'extremely' (5459737)
correct('intial') => 'intial' (2354); expected 'initial' (3944404)
correct('cemetary') => 'cemetary' (2182); expected 'cemetery' (596076)
correct('semetary') => 'cemetary' (2182); expected 'cemetery' (596076)
correct('supercede') => 'supercede' (6250); expected 'supersede' (237617)
correct('superceed') => 'superceed' (52); expected 'supersede' (237617)
correct('galery') => 'galery' (367); expected 'gallery' (1109243)
correct('gallary') => 'gallary' (182); expected 'gallery' (1109243)
correct('pronounciation') => 'pronounciation' (3891); expected 'pronunciation' (489974)
correct('inconvient') => 'inconvient' (52); expected 'inconvenient' (433478)
correct('totaly') => 'totaly' (722); expected 'totally' (2341389)
correct('centraly') => 'central' (8221774); expected 'centrally' (215548)
correct('ment') => 'ment' (999903); expected 'meant' (6949106)
correct('cartains') => 'captains' (679334); expected 'curtains' (592469)
correct('certans') => 'certans' (120); expected 'curtains' (592469)
correct('courtens') => 'courtes' (4522); expected 'curtains' (592469)
correct('curtions') => 'curions' (3098); expected 'curtains' (592469)
correct('somone') => 'somone' (447); expected 'someone' (3102076)
correct('familes') => 'familes' (3441); expected 'families' (6538265)
correct('ther') => 'ther' (369847); expected 'there' (151851784)
correct('febuary') => 'febuary' (197); expected 'february' (3870)
correct('extented') => 'extented' (629); expected 'extended' (6021467)
correct('choise') => 'choise' (7834); expected 'choice' (6647849)
correct('ofen') => 'ofen' (1288); expected 'often' (34822576)
correct('offen') => 'offen' (11680); expected 'often' (34822576)
correct('offten') => 'offten' (299); expected 'often' (34822576)
correct('ofton') => 'ofton' (1245); expected 'often' (34822576)
correct('undersand') => 'undersand' (478); expected 'understand' (11249076)
correct('undistand') => 'undestand' (363); expected 'understand' (11249076)
correct('basicaly') => 'basicaly' (46); expected 'basically' (564085)
correct('awfall') => 'awfull' (2261); expected 'awful' (1690844)
correct('neccesary') => 'neccesary' (505); expected 'necessary' (28138168)
correct('necesary') => 'necesary' (6101); expected 'necessary' (28138168)
correct('neccesary') => 'neccesary' (505); expected 'necessary' (28138168)
correct('necassary') => 'necassary' (362); expected 'necessary' (28138168)
correct('necassery') => 'necessery' (626); expected 'necessary' (28138168)
correct('neccasary') => 'neceasary' (914); expected 'necessary' (28138168)
correct('conciderable') => 'conciderable' (114); expected 'considerable' (12311848)
correct('rember') => 'rember' (417); expected 'remember' (7792458)
correct('remeber') => 'remeber' (239); expected 'remember' (7792458)
correct('articals') => 'articals' (76); expected 'articles' (5891118)
correct('acount') => 'acount' (5662); expected 'account' (22061344)
correct('aranged') => 'aranged' (637); expected 'arranged' (4421887)
correct('arrainged') => 'arrainged' (401); expected 'arranged' (4421887)
correct('unfortunatly') => 'unfortunatly' (252); expected 'unfortunately' (1378762)
correct('varable') => 'varable' (66); expected 'variable' (3096119)
correct('guic') => 'guic' (106); expected 'juice' (1247060)
correct('juce') => 'juce' (534); expected 'juice' (1247060)
correct('juise') => 'juise' (159); expected 'juice' (1247060)
correct('juse') => 'juse' (489); expected 'juice' (1247060)
correct('wether') => 'wether' (23900); expected 'whether' (26852760)
correct('leval') => 'leval' (495); expected 'level' (14963274)
correct('transfred') => 'transfered' (6866); expected 'transferred' (2670671)
correct('establising') => 'establising' (169); expected 'establishing' (2062499)
correct('recieve') => 'recieve' (3737); expected 'receive' (9411447)
correct('benifit') => 'benifit' (1249); expected 'benefit' (6003513)
correct('remine') => 'remine' (71); expected 'remind' (1042748)
correct('remined') => 'remined' (463); expected 'remind' (1042748)
correct('cak') => 'cak' (1684); expected 'cake' (781066)
correct('viseted') => 'viseted' (167); expected 'visited' (4180708)
correct('vistid') => 'viscid' (98871); expected 'visited' (4180708)
correct('problam') => 'problam' (120); expected 'problem' (14588015)
correct('proble') => 'proble' (1824); expected 'problem' (14588015)
correct('proplen') => 'problen' (1736); expected 'problem' (14588015)
correct('biscutes') => 'discutes' (305); expected 'biscuits' (176695)
correct('biscuts') => 'biscuts' (52); expected 'biscuits' (176695)
correct('bisquits') => 'bisquits' (121); expected 'biscuits' (176695)
correct('buiscits') => 'buiscuits' (50); expected 'biscuits' (176695)
correct('buiscuts') => 'biscuts' (52); expected 'biscuits' (176695)
correct('rote') => 'rote' (117742); expected 'wrote' (12499272)
correct('wote') => 'wote' (5762); expected 'wrote' (12499272)
correct('compair') => 'compair' (246); expected 'compare' (2394878)
correct('pertend') => 'pertend' (313); expected 'pretend' (1180880)
correct('protend') => 'protend' (952); expected 'pretend' (1180880)
correct('prtend') => 'prtend' (64); expected 'pretend' (1180880)
correct('bycicle') => 'bycicle' (105); expected 'bicycle' (298241)
correct('bycycle') => 'bycycle' (73); expected 'bicycle' (298241)
correct('lagh') => 'lagh' (610); expected 'laugh' (2320943)
correct('lauf') => 'lauf' (405); expected 'laugh' (2320943)
correct('laught') => 'laught' (3700); expected 'laugh' (2320943)
correct('lugh') => 'lugh' (703); expected 'laugh' (2320943)
correct('cirtain') => 'cirtain' (90); expected 'certain' (33990512)
correct('receit') => 'receit' (2668); expected 'receipt' (1273301)
correct('receite') => 'receite' (592); expected 'receipt' (1273301)
correct('reciet') => 'recite' (286308); expected 'receipt' (1273301)
correct('recipt') => 'recipt' (212); expected 'receipt' (1273301)
correct('magificent') => 'magificent' (220); expected 'magnificent' (2384201)
correct('magnifiscant') => 'magnificant' (1709); expected 'magnificent' (2384201)
correct('magnificant') => 'magnificant' (1709); expected 'magnificent' (2384201)
correct('litriture') => 'litrature' (155); expected 'literature' (8310432)
correct('hierachial') => 'hierarchial' (4563); expected 'hierarchal' (5187)
correct('chalenges') => 'chalenges' (131); expected 'challenges' (596804)
correct('chalenges') => 'chalenges' (131); expected 'challenges' (596804)
correct('exstacy') => 'exstacy' (363); expected 'ecstasy' (391166)
correct('ecstacy') => 'ecstacy' (38389); expected 'ecstasy' (391166)
correct('stomac') => 'stomac' (565); expected 'stomach' (2803425)
correct('stomache') => 'stomache' (719); expected 'stomach' (2803425)
correct('stomec') => 'stomac' (565); expected 'stomach' (2803425)
correct('stumache') => 'stomache' (719); expected 'stomach' (2803425)
correct('chosing') => 'chosing' (2759); expected 'choosing' (1011555)
correct('futher') => 'futher' (5691); expected 'further' (21445458)
correct('questionaire') => 'questionaire' (2574); expected 'questionnaire' (436926)
correct('speaical') => 'sperical' (357); expected 'special' (16039050)
correct('specail') => 'specail' (45); expected 'special' (16039050)
correct('specal') => 'specal' (261); expected 'special' (16039050)
correct('speical') => 'speical' (282); expected 'special' (16039050)
correct('realy') => 'realy' (3860); expected 'really' (14732690)
correct('relley') => 'ralley' (1135); expected 'really' (14732690)
correct('relly') => 'relly' (154); expected 'really' (14732690)
correct('diffrent') => 'diffrent' (1217); expected 'different' (37468765)
correct('monitering') => 'monitering' (82); expected 'monitoring' (639270)
correct('biult') => 'biult' (89); expected 'built' (10610886)
correct('possition') => 'possition' (215); expected 'position' (23255565)
correct('personnell') => 'personnell' (83); expected 'personnel' (2090911)
correct('seperate') => 'seperate' (9270); expected 'separate' (8228864)
correct('poartry') => 'poatry' (235); expected 'poetry' (5361854)
correct('poetre') => 'poetre' (65); expected 'poetry' (5361854)
correct('poety') => 'poety' (948); expected 'poetry' (5361854)
correct('arragment') => 'arrangment' (3254); expected 'arrangement' (4875605)
correct('acess') => 'acess' (422); expected 'access' (3376983)
correct('beetween') => 'beetween' (379); expected 'between' (75925484)
correct('avaible') => 'avaible' (175); expected 'available' (9833938)
correct('independant') => 'independant' (14672); expected 'independent' (7682316)
correct('independant') => 'independant' (14672); expected 'independent' (7682316)
correct('accesing') => 'accusing' (236777); expected 'accessing' (48961)
correct('lones') => 'lones' (3066); expected 'loans' (1819588)
correct('discription') => 'discription' (3566); expected 'description' (7376108)
correct('opisite') => 'oposite' (1169); expected 'opposite' (7583865)
correct('oppasite') => 'oppasite' (57); expected 'opposite' (7583865)
correct('oppesite') => 'oppesite' (81); expected 'opposite' (7583865)
correct('oppisit') => 'opposit' (3624); expected 'opposite' (7583865)
correct('oppisite') => 'oppisite' (87); expected 'opposite' (7583865)
correct('opposit') => 'opposit' (3624); expected 'opposite' (7583865)
correct('oppossite') => 'oppossite' (45); expected 'opposite' (7583865)
correct('oppossitte') => 'oppossite' (45); expected 'opposite' (7583865)
correct('poims') => 'poims' (237); expected 'poems' (2966093)
correct('pomes') => 'pomes' (1903); expected 'poems' (2966093)
correct('southen') => 'southen' (212); expected 'southern' (4404732)
correct('failes') => 'failes' (1238); expected 'fails' (1728718)
correct('possable') => 'possable' (518); expected 'possible' (29438382)
correct('vistors') => 'vistors' (602); expected 'visitors' (1600265)
correct('completly') => 'completly' (1735); expected 'completely' (7884139)
correct('levals') => 'levals' (69); expected 'levels' (5278904)
correct('experances') => 'esperances' (1830); expected 'experiences' (3586997)
correct('adress') => 'adress' (2265); expected 'address' (5091825)
correct('adres') => 'adres' (533); expected 'address' (5091825)
correct('desicate') => 'delicate' (2949704); expected 'desiccate' (3112)
correct('dessicate') => 'dessicate' (323); expected 'desiccate' (3112)
correct('embaras') => 'embaras' (190); expected 'embarrass' (179601)
correct('embarass') => 'embarass' (2026); expected 'embarrass' (179601)
correct('wantid') => 'wantid' (517); expected 'wanted' (8808234)
correct('wonted') => 'wonted' (168920); expected 'wanted' (8808234)
correct('begining') => 'begining' (17373); expected 'beginning' (12693270)
correct('accomodation') => 'accomodation' (15106); expected 'accommodation' (1346612)
correct('acommodation') => 'acommodation' (346); expected 'accommodation' (1346612)
correct('acomodation') => 'acomodation' (90); expected 'accommodation' (1346612)
correct('volantry') => 'voluntry' (88); expected 'voluntary' (2190538)
correct('chaper') => 'chaper' (1327); expected 'chapter' (9012208)
correct('scarcly') => 'scarcly' (661); expected 'scarcely' (5952602)
correct('scarecly') => 'scarecly' (45); expected 'scarcely' (5952602)
correct('scarely') => 'scarely' (3624); expected 'scarcely' (5952602)
correct('scarsely') => 'scarsely' (1021); expected 'scarcely' (5952602)
correct('voteing') => 'voteing' (141); expected 'voting' (1272541)
correct('benifits') => 'benifits' (337); expected 'benefits' (3238346)
correct('auxillary') => 'auxillary' (341); expected 'auxiliary' (769188)
correct('carrer') => 'carrer' (801); expected 'career' (4447804)
correct('muinets') => 'minets' (145); expected 'minutes' (7402434)
correct('splended') => 'splended' (2248); expected 'splendid' (2706829)
correct('splened') => 'splined' (5799); expected 'splendid' (2706829)
correct('splended') => 'splended' (2248); expected 'splendid' (2706829)
correct('contende') => 'contende' (591); expected 'contented' (1014322)
correct('contended') => 'contended' (872303); expected 'contented' (1014322)
correct('contentid') => 'contentid' (202); expected 'contented' (1014322)
correct('experance') => 'esperance' (7084); expected 'experience' (17249387)
correct('experiance') => 'experiance' (399); expected 'experience' (17249387)
correct('perple') => 'perple' (331); expected 'purple' (1523384)
correct('perpul') => 'peepul' (6194); expected 'purple' (1523384)
correct('poarple') => 'parple' (74); expected 'purple' (1523384)
correct('liaision') => 'liaision' (93); expected 'liaison' (230202)
correct('liason') => 'liason' (2544); expected 'liaison' (230202)
correct('definately') => 'definately' (433); expected 'definitely' (1790828)
correct('difinately') => 'definately' (433); expected 'definitely' (1790828)
correct('annt') => 'annt' (1747); expected 'aunt' (1041309)
correct('anut') => 'anut' (359); expected 'aunt' (1041309)
correct('arnt') => 'arnt' (1763); expected 'aunt' (1041309)
correct('planed') => 'planed' (55888); expected 'planned' (2395039)
correct('paralel') => 'paralel' (876); expected 'parallel' (5098074)
correct('paralell') => 'paralell' (932); expected 'parallel' (5098074)
correct('parrallel') => 'parrallel' (1211); expected 'parallel' (5098074)
correct('parralell') => 'parralell' (50); expected 'parallel' (5098074)
correct('parrallell') => 'parrallel' (1211); expected 'parallel' (5098074)
correct('lates') => 'lates' (11818); expected 'latest' (1726064)
correct('inistals') => 'instals' (1380); expected 'initials' (285576)
correct('initals') => 'initals' (228); expected 'initials' (285576)
correct('intials') => 'intials' (159); expected 'initials' (285576)
{'bad': 211, 'bias': None, 'unknown': 0, 'secs': 0, 'pct': 21, 'n': 270}
correct('forbiden') => 'forbiden' (469); expected 'forbidden' (1557053)
correct('coments') => 'coments' (180); expected 'comments' (1518897)
correct('descisions') => 'descisions' (75); expected 'decisions' (3595855)
correct('tecnique') => 'tecnique' (222); expected 'technique' (3077986)
correct('perminantly') => 'permanantly' (175); expected 'permanently' (1210477)
correct('confermation') => 'confermation' (69); expected 'confirmation' (1107293)
correct('appoitment') => 'appoitment' (42); expected 'appointment' (3299696)
correct('contuned') => 'contused' (18786); expected 'continued' (14907365)
correct('progresion') => 'progresion' (138); expected 'progression' (596201)
correct('acompaning') => 'accompaning' (1062); expected 'accompanying' (1336054)
correct('aplicable') => 'aplicable' (743); expected 'applicable' (2230248)
correct('regined') => 'refined' (1283801); expected 'regained' (443542)
correct('guidlines') => 'guidlines' (207); expected 'guidelines' (508534)
correct('serounding') => 'surounding' (492); expected 'surrounding' (2880989)
correct('tittles') => 'tittles' (1292); expected 'titles' (1659673)
correct('advantageos') => 'advantages' (4196820); expected 'advantageous' (968935)
correct('brif') => 'brif' (178); expected 'brief' (4820468)
correct('apeal') => 'apeal' (342); expected 'appeal' (5026437)
correct('consisiting') => 'consisiting' (57); expected 'consisting' (3035835)
correct('cleark') => 'cleark' (221); expected 'clerk' (2060859)
correct('clerck') => 'clerck' (149); expected 'clerk' (2060859)
correct('comersial') => 'comercial' (4482); expected 'commercial' (5555375)
correct('faverable') => 'faverable' (85); expected 'favourable' (2173212)
correct('seperation') => 'seperation' (2233); expected 'separation' (3176159)
correct('serch') => 'serch' (1137); expected 'search' (4540872)
correct('recieve') => 'recieve' (3737); expected 'receive' (9411447)
correct('emploies') => 'emploies' (130); expected 'employees' (2801073)
correct('piror') => 'piror' (43); expected 'prior' (3865290)
correct('sugestion') => 'sugestion' (332); expected 'suggestion' (2864470)
correct('oppinion') => 'oppinion' (2864); expected 'opinion' (15509076)
correct('cancelation') => 'cancelation' (5087); expected 'cancellation' (182258)
correct('compossed') => 'compossed' (84); expected 'composed' (5994344)
correct('usful') => 'usful' (180); expected 'useful' (8383579)
correct('humor') => 'humor' (1183379); expected 'humour' (1406351)
correct('anomolies') => 'anomolies' (618); expected 'anomalies' (359787)
correct('whould') => 'whould' (1830); expected 'would' (177848813)
correct('doupt') => 'doupt' (193); expected 'doubt' (14199370)
correct('eximination') => 'eximination' (67); expected 'examination' (6503407)
correct('recomend') => 'recomend' (1765); expected 'recommend' (1615841)
correct('seperated') => 'seperated' (4622); expected 'separated' (4382526)
correct('sucssuful') => 'sucessful' (2313); expected 'successful' (7134023)
correct('succesful') => 'succesful' (4924); expected 'successful' (7134023)
correct('apparant') => 'apparant' (4485); expected 'apparent' (5648092)
correct('pivting') => 'pitting' (64944); expected 'pivoting' (20548)
correct('anouncing') => 'anouncing' (208); expected 'announcing' (503047)
correct('chalange') => 'chalange' (230); expected 'challenge' (2081220)
correct('araingements') => 'arangements' (943); expected 'arrangements' (2970740)
correct('oranised') => 'organised' (782535); expected 'organized' (4761921)
correct('acept') => 'acept' (465); expected 'accept' (6122629)
correct('dependance') => 'dependance' (53065); expected 'dependence' (1897756)
correct('unequaled') => 'unequaled' (37031); expected 'unequalled' (146535)
correct('sence') => 'sence' (45558); expected 'sense' (22564017)
correct('conversly') => 'conversly' (94); expected 'conversely' (229882)
correct('provid') => 'provid' (5290); expected 'provide' (9500853)
correct('arrangment') => 'arrangment' (3254); expected 'arrangement' (4875605)
correct('responsiblities') => 'responsiblities' (821); expected 'responsibilities' (1384626)
correct('forth') => 'forth' (10307993); expected 'fourth' (5811846)
correct('ordenary') => 'ordenary' (365); expected 'ordinary' (9460325)
correct('desription') => 'desription' (131); expected 'description' (7376108)
correct('inconcievable') => 'inconcievable' (141); expected 'inconceivable' (401276)
correct('supervison') => 'supervison' (700); expected 'supervision' (1603953)
correct('encompasing') => 'encompasing' (71); expected 'encompassing' (141102)
correct('negligable') => 'negligable' (960); expected 'negligible' (599909)
correct('alow') => 'alow' (13204); expected 'allow' (7045510)
correct('operatins') => 'operatins' (52); expected 'operations' (6518403)
correct('interpritation') => 'interpritation' (49); expected 'interpretation' (4482263)
correct('heiarky') => 'hearty' (848235); expected 'hierarchy' (963480)
correct('indead') => 'indead' (516); expected 'indeed' (17740463)
correct('throut') => 'throut' (353); expected 'through' (71443003)
correct('committe') => 'committe' (5189); expected 'committee' (5960081)
correct('equiries') => 'enquiries' (227487); expected 'inquiries' (1104837)
correct('befor') => 'befor' (25499); expected 'before' (78239595)
correct('intresting') => 'intresting' (223); expected 'interesting' (9092239)
correct('perminant') => 'germinant' (2844); expected 'permanent' (5038871)
correct('chose') => 'chose' (2271593); expected 'choose' (3792380)
correct('vertually') => 'vertually' (170); expected 'virtually' (1830725)
correct('correspondance') => 'correspondance' (14074); expected 'correspondence' (2800745)
correct('eventully') => 'eventully' (130); expected 'eventually' (2986140)
correct('lonley') => 'lonley' (52); expected 'lonely' (1315903)
correct('preffeson') => 'preffes' (1294); expected 'profession' (3643794)
correct('thay') => 'thay' (46229); expected 'they' (267472606)
correct('noe') => 'noe' (82157); expected 'now' (80454838)
correct('despratly') => 'desperatly' (337); expected 'desperately' (538247)
correct('unversity') => 'unversity' (259); expected 'university' (3023378)
correct('possablities') => 'possiblities' (1617); expected 'possibilities' (2142524)
correct('stoped') => 'stoped' (4886); expected 'stopped' (4658387)
correct('meen') => 'meen' (3268); expected 'mean' (14815824)
correct('wagted') => 'wanted' (8808234); expected 'weighted' (415449)
correct('hown') => 'hown' (4451); expected 'shown' (17599374)
correct('proffit') => 'proffit' (1635); expected 'profit' (4238282)
